Ticker,close,date,high,low,month,open,volume
BRITANNIA,4397.3,2023-11-01 05:30:00,4456.0,4347.7,2023-11,4442.6,395359
BRITANNIA,4527.25,2023-11-02 05:30:00,4568.8,4454.25,2023-11,4512.1,822845
BRITANNIA,4539.55,2023-11-03 05:30:00,4582.4,4524.15,2023-11,4528.0,335012
BRITANNIA,4623.6,2023-11-06 05:30:00,4628.15,4546.05,2023-11,4554.9,205763
BRITANNIA,4655.2,2023-11-07 05:30:00,4670.0,4590.85,2023-11,4610.1,282612
BRITANNIA,4670.6,2023-11-08 05:30:00,4686.5,4650.5,2023-11,4670.95,385727
BRITANNIA,4652.1,2023-11-09 05:30:00,4685.5,4630.5,2023-11,4670.6,208210
BRITANNIA,4681.95,2023-11-10 05:30:00,4685.85,4621.0,2023-11,4657.45,142336
BRITANNIA,4676.6,2023-11-12 05:30:00,4699.0,4660.05,2023-11,4694.65,23883
BRITANNIA,4696.35,2023-11-13 05:30:00,4703.15,4644.0,2023-11,4662.3,260394
BRITANNIA,4710.8,2023-11-15 05:30:00,4725.0,4667.4,2023-11,4723.0,269650
BRITANNIA,4702.1,2023-11-16 05:30:00,4729.0,4679.6,2023-11,4710.0,178375
BRITANNIA,4718.3,2023-11-17 05:30:00,4745.6,4690.1,2023-11,4703.0,138652
BRITANNIA,4712.0,2023-11-20 05:30:00,4739.45,4690.9,2023-11,4691.25,126069
BRITANNIA,4699.75,2023-11-21 05:30:00,4730.0,4665.0,2023-11,4730.0,129602
BRITANNIA,4694.2,2023-11-22 05:30:00,4712.85,4662.75,2023-11,4709.9,72533
BRITANNIA,4705.8,2023-11-23 05:30:00,4710.95,4678.95,2023-11,4699.0,109775
BRITANNIA,4644.15,2023-11-24 05:30:00,4715.0,4640.5,2023-11,4705.8,123628
BRITANNIA,4713.45,2023-11-28 05:30:00,4722.9,4626.0,2023-11,4632.25,182790
BRITANNIA,4803.65,2023-11-29 05:30:00,4832.1,4701.4,2023-11,4715.95,363702
BRITANNIA,4852.65,2023-11-30 05:30:00,4875.95,4797.5,2023-11,4815.0,961054
BRITANNIA,4970.75,2023-12-01 05:30:00,4984.0,4860.05,2023-12,4873.0,485597
BRITANNIA,4937.75,2023-12-04 05:30:00,4994.95,4915.0,2023-12,4990.0,310152
BRITANNIA,4948.4,2023-12-05 05:30:00,4975.0,4933.0,2023-12,4937.75,280497
BRITANNIA,5003.15,2023-12-06 05:30:00,5022.7,4952.3,2023-12,4953.0,295686
BRITANNIA,5016.0,2023-12-07 05:30:00,5025.0,4963.15,2023-12,5003.15,268095
BRITANNIA,4942.2,2023-12-08 05:30:00,5060.0,4931.0,2023-12,5024.0,282713
BRITANNIA,4944.15,2023-12-11 05:30:00,4974.5,4900.05,2023-12,4959.9,147976
