Ticker,close,date,high,low,month,open,volume
ITC,428.1,2023-11-01 05:30:00,431.1,425.5,2023-11,430.0,7990245
ITC,431.15,2023-11-02 05:30:00,432.7,428.65,2023-11,430.05,8152031
ITC,433.25,2023-11-03 05:30:00,434.4,431.1,2023-11,432.8,13802600
ITC,435.35,2023-11-06 05:30:00,436.8,432.55,2023-11,433.5,7308229
ITC,432.7,2023-11-07 05:30:00,434.9,432.15,2023-11,434.9,5124012
ITC,436.95,2023-11-08 05:30:00,437.5,432.3,2023-11,433.15,6979849
ITC,434.4,2023-11-09 05:30:00,438.0,433.9,2023-11,437.8,7785767
ITC,436.55,2023-11-10 05:30:00,438.0,432.5,2023-11,434.4,4079205
ITC,438.45,2023-11-12 05:30:00,439.2,438.0,2023-11,438.85,1181310
ITC,436.0,2023-11-13 05:30:00,438.4,435.0,2023-11,438.4,3744754
ITC,441.95,2023-11-15 05:30:00,442.5,437.5,2023-11,438.1,7436428
ITC,438.65,2023-11-16 05:30:00,444.5,437.6,2023-11,441.95,10857863
ITC,439.25,2023-11-17 05:30:00,441.5,438.3,2023-11,439.25,6655278
ITC,436.8,2023-11-20 05:30:00,440.3,434.5,2023-11,439.85,4335388
ITC,436.25,2023-11-21 05:30:00,439.3,435.5,2023-11,437.15,5997810
ITC,439.7,2023-11-22 05:30:00,440.4,434.8,2023-11,437.0,4886687
ITC,440.35,2023-11-23 05:30:00,442.25,438.25,2023-11,440.95,6366606
ITC,437.8,2023-11-24 05:30:00,442.25,436.85,2023-11,441.0,6821878
ITC,435.25,2023-11-28 05:30:00,439.0,434.9,2023-11,438.0,8745691
ITC,437.2,2023-11-29 05:30:00,438.5,434.15,2023-11,436.0,13785216
ITC,435.8,2023-11-30 05:30:00,438.45,434.5,2023-11,436.7,15127505
ITC,449.8,2023-12-01 05:30:00,450.95,437.4,2023-12,437.9,19336856
ITC,454.05,2023-12-04 05:30:00,456.4,451.0,2023-12,455.0,12800220
ITC,451.75,2023-12-05 05:30:00,457.8,450.1,2023-12,455.0,12136292
ITC,463.25,2023-12-06 05:30:00,464.5,452.1,2023-12,453.9,20417559
