Ticker,close,date,high,low,month,open,volume
CIPLA,1201.25,2023-11-01 05:30:00,1208.7,1186.55,2023-11,1200.0,1051902
CIPLA,1208.5,2023-11-02 05:30:00,1211.85,1194.65,2023-11,1205.5,1556467
CIPLA,1206.35,2023-11-03 05:30:00,1219.75,1204.0,2023-11,1215.0,772013
CIPLA,1204.1,2023-11-06 05:30:00,1217.0,1197.25,2023-11,1211.95,1262938
CIPLA,1216.45,2023-11-07 05:30:00,1217.5,1200.75,2023-11,1205.0,1210644
CIPLA,1241.0,2023-11-08 05:30:00,1242.4,1220.0,2023-11,1222.0,1107006
CIPLA,1238.15,2023-11-09 05:30:00,1245.0,1232.0,2023-11,1242.0,751433
CIPLA,1240.1,2023-11-10 05:30:00,1242.0,1230.0,2023-11,1237.85,576673
CIPLA,1243.95,2023-11-12 05:30:00,1248.9,1238.0,2023-11,1246.0,119172
CIPLA,1240.55,2023-11-13 05:30:00,1243.0,1230.65,2023-11,1243.0,689808
CIPLA,1241.75,2023-11-15 05:30:00,1260.0,1237.7,2023-11,1260.0,1323010
CIPLA,1234.8,2023-11-16 05:30:00,1246.3,1232.65,2023-11,1241.05,1251094
CIPLA,1249.4,2023-11-17 05:30:00,1256.1,1235.5,2023-11,1236.0,992848
CIPLA,1247.1,2023-11-20 05:30:00,1256.0,1241.0,2023-11,1241.5,848916
CIPLA,1253.25,2023-11-21 05:30:00,1255.0,1242.15,2023-11,1246.95,594738
CIPLA,1271.5,2023-11-22 05:30:00,1283.55,1254.0,2023-11,1256.95,1735497
CIPLA,1170.65,2023-11-23 05:30:00,1270.0,1164.55,2023-11,1270.0,7643376
CIPLA,1198.65,2023-11-24 05:30:00,1205.0,1178.0,2023-11,1190.05,5331201
CIPLA,1192.3,2023-11-28 05:30:00,1202.75,1188.0,2023-11,1200.0,1691543
CIPLA,1201.55,2023-11-29 05:30:00,1206.8,1191.75,2023-11,1198.75,2173427
CIPLA,1212.3,2023-11-30 05:30:00,1217.65,1198.1,2023-11,1200.0,3219799
CIPLA,1205.7,2023-12-01 05:30:00,1217.85,1203.5,2023-12,1213.45,1078680
CIPLA,1216.5,2023-12-04 05:30:00,1219.1,1206.25,2023-12,1212.3,2097408
CIPLA,1224.45,2023-12-05 05:30:00,1229.0,1216.0,2023-12,1222.6,2132150
CIPLA,1205.2,2023-12-06 05:30:00,1229.85,1201.0,2023-12,1225.0,1416770
CIPLA,1222.8,2023-12-07 05:30:00,1225.0,1197.0,2023-12,1206.0,1269290
CIPLA,1219.1,2023-12-08 05:30:00,1231.2,1204.0,2023-12,1225.0,1453955
CIPLA,1202.3,2023-12-11 05:30:00,1218.95,1195.05,2023-12,1217.6,1565455
CIPLA,1198.65,2023-12-12 05:30:00,1214.25,1195.2,2023-12,1210.6,899911
CIPLA,1216.5,2023-12-13 05:30:00,1217.95,1195.2,2023-12,1198.65,1809563
CIPLA,1204.65,2023-12-14 05:30:00,1222.55,1201.1,2023-12,1219.05,1809248
CIPLA,1207.1,2023-12-15 05:30:00,1217.6,1202.85,2023-12,1215.0,1976112
CIPLA,1216.8,2023-12-18 05:30:00,1218.95,1192.1,2023-12,1205.6,1995091
CIPLA,1237.1,2023-12-19 05:30:00,1240.15,1212.2,2023-12,1219.45,1738507
CIPLA,1236.2,2023-12-20 05:30:00,1248.0,1231.0,2023-12,1239.0,2484819
CIPLA,1221.85,2023-12-21 05:30:00,1236.2,1205.85,2023-12,1236.2,1580136
CIPLA,1235.6,2023-12-22 05:30:00,1242.5,1221.65,2023-12,1230.05,1969524
CIPLA,1244.95,2023-12-26 05:30:00,1250.0,1231.85,2023-12,1240.0,820163
CIPLA,1239.75,2023-12-27 05:30:00,1250.35,1236.7,2023-12,1247.0,2528609
CIPLA,1260.8,2023-12-28 05:30:00,1263.8,1239.75,2023-12,1239.75,2592699
CIPLA,1246.3,2023-12-29 05:30:00,1267.6,1242.05,2023-12,1264.0,1794218
CIPLA,1251.0,2024-01-01 05:30:00,1256.8,1246.7,2024-01,1252.45,343584
CIPLA,1281.55,2024-01-02 05:30:00,1285.0,1252.1,2024-01,1255.1,2589484
CIPLA,1300.15,2024-01-03 05:30:00,1307.0,1274.05,2024-01,1291.0,2357093
CIPLA,1296.65,2024-01-04 05:30:00,1308.0,1286.65,2024-01,1304.0,1248143
CIPLA,1286.9,2024-01-05 05:30:00,1301.55,1276.15,2024-01,1300.0,1013196
CIPLA,1271.75,2024-01-08 05:30:00,1297.0,1266.2,2024-01,1296.65,740848
CIPLA,1289.35,2024-01-09 05:30:00,1295.0,1273.4,2024-01,1284.0,1133466
CIPLA,1329.2,2024-01-10 05:30:00,1331.5,1294.3,2024-01,1296.0,3625567
CIPLA,1325.65,2024-01-11 05:30:00,1340.0,1323.05,2024-01,1339.85,1097204
CIPLA,1308.0,2024-01-12 05:30:00,1325.65,1300.4,2024-01,1324.2,2051301
CIPLA,1313.15,2024-01-15 05:30:00,1327.75,1306.6,2024-01,1316.0,762036
CIPLA,1302.35,2024-01-16 05:30:00,1314.4,1298.25,2024-01,1313.15,1030845
CIPLA,1294.0,2024-01-17 05:30:00,1312.9,1282.1,2024-01,1299.35,2073596
CIPLA,1322.95,2024-01-18 05:30:00,1327.2,1267.9,2024-01,1285.05,1723297
CIPLA,1327.95,2024-01-19 05:30:00,1330.95,1316.6,2024-01,1330.95,1135846
CIPLA,1316.25,2024-01-20 05:30:00,1337.95,1307.05,2024-01,1335.65,353704
CIPLA,1409.0,2024-01-23 05:30:00,1425.0,1368.7,2024-01,1385.0,7556815
CIPLA,1417.35,2024-01-24 05:30:00,1423.05,1394.85,2024-01,1409.0,1808713
CIPLA,1369.65,2024-01-25 05:30:00,1413.45,1353.5,2024-01,1413.35,1801468
CIPLA,1336.85,2024-01-29 05:30:00,1365.0,1325.3,2024-01,1365.0,2480508
CIPLA,1317.1,2024-01-30 05:30:00,1352.0,1314.15,2024-01,1345.0,1908926
CIPLA,1351.0,2024-01-31 05:30:00,1352.9,1312.0,2024-01,1317.1,1723379
CIPLA,1387.65,2024-02-01 05:30:00,1394.85,1352.05,2024-02,1359.7,2784507
CIPLA,1392.65,2024-02-02 05:30:00,1404.7,1385.0,2024-02,1387.0,1161705
CIPLA,1433.9,2024-02-05 05:30:00,1447.0,1394.3,2024-02,1400.65,2369316
CIPLA,1425.45,2024-02-06 05:30:00,1445.9,1412.55,2024-02,1444.85,979752
CIPLA,1438.75,2024-02-07 05:30:00,1444.5,1420.85,2024-02,1436.0,890299
CIPLA,1420.2,2024-02-08 05:30:00,1457.7,1417.65,2024-02,1448.0,1447767
CIPLA,1439.75,2024-02-09 05:30:00,1447.55,1417.05,2024-02,1428.1,1215784
CIPLA,1434.75,2024-02-12 05:30:00,1452.75,1425.0,2024-02,1440.0,453460
