Ticker,close,date,high,low,month,open,volume
BEL,132.4,2023-11-01 05:30:00,134.55,132.05,2023-11,133.75,10431945
BEL,134.75,2023-11-02 05:30:00,135.0,133.3,2023-11,133.7,4885035
BEL,135.95,2023-11-03 05:30:00,137.0,134.75,2023-11,135.15,9154983
BEL,137.65,2023-11-06 05:30:00,138.0,136.0,2023-11,136.95,7070089
BEL,138.05,2023-11-07 05:30:00,138.95,136.7,2023-11,137.55,8587321
BEL,140.4,2023-11-08 05:30:00,141.15,137.7,2023-11,137.75,9755483
BEL,137.95,2023-11-09 05:30:00,139.95,137.6,2023-11,139.95,5481774
BEL,138.8,2023-11-10 05:30:00,139.1,137.05,2023-11,137.5,5781314
BEL,139.6,2023-11-12 05:30:00,140.3,139.3,2023-11,139.95,1362464
BEL,143.4,2023-11-13 05:30:00,144.2,139.05,2023-11,139.15,20245049
BEL,143.05,2023-11-15 05:30:00,145.4,142.5,2023-11,144.5,11440473
BEL,142.6,2023-11-16 05:30:00,144.35,142.2,2023-11,143.25,11453235
BEL,146.1,2023-11-17 05:30:00,146.5,141.8,2023-11,142.85,13496261
BEL,143.85,2023-11-20 05:30:00,146.75,143.15,2023-11,146.4,7741502
BEL,142.85,2023-11-21 05:30:00,144.55,142.25,2023-11,144.15,9972235
BEL,141.85,2023-11-22 05:30:00,143.45,140.15,2023-11,143.25,7445272
BEL,139.35,2023-11-23 05:30:00,142.55,139.1,2023-11,141.85,13138745
BEL,140.35,2023-11-24 05:30:00,142.15,137.35,2023-11,139.95,19614754
BEL,141.3,2023-11-28 05:30:00,141.8,140.4,2023-11,141.65,8595693
BEL,141.0,2023-11-29 05:30:00,142.65,140.5,2023-11,142.05,14680789
BEL,145.9,2023-11-30 05:30:00,146.35,140.75,2023-11,141.0,27591484
BEL,147.45,2023-12-01 05:30:00,150.3,146.75,2023-12,147.95,34466616
BEL,153.55,2023-12-04 05:30:00,157.5,151.6,2023-12,152.0,51416976
BEL,152.0,2023-12-05 05:30:00,155.1,149.95,2023-12,153.7,29109123
BEL,156.15,2023-12-06 05:30:00,157.15,151.85,2023-12,152.6,26688698
BEL,160.35,2023-12-07 05:30:00,161.8,158.25,2023-12,161.8,51346222
BEL,158.75,2023-12-08 05:30:00,162.35,157.3,2023-12,161.35,22869782
BEL,161.25,2023-12-11 05:30:00,163.25,159.15,2023-12,159.8,22941648
BEL,160.8,2023-12-12 05:30:00,162.8,160.0,2023-12,162.45,16306341
