Ticker,close,date,high,low,month,open,volume
WIPRO,380.95,2023-11-01 05:30:00,385.55,380.15,2023-11,383.85,2120976
WIPRO,383.65,2023-11-02 05:30:00,385.15,382.1,2023-11,383.8,2371365
WIPRO,383.55,2023-11-03 05:30:00,386.7,382.65,2023-11,386.0,2645764
WIPRO,384.65,2023-11-06 05:30:00,386.45,383.0,2023-11,386.0,2469968
WIPRO,383.3,2023-11-07 05:30:00,387.0,382.85,2023-11,384.9,2846089
WIPRO,382.2,2023-11-08 05:30:00,385.85,381.5,2023-11,384.6,3551026
WIPRO,380.85,2023-11-09 05:30:00,384.0,379.7,2023-11,383.0,4615563
WIPRO,379.3,2023-11-10 05:30:00,381.8,377.0,2023-11,380.3,5355350
WIPRO,382.45,2023-11-12 05:30:00,383.4,381.45,2023-11,383.4,1011662
WIPRO,381.65,2023-11-13 05:30:00,382.9,380.0,2023-11,382.6,1792951
WIPRO,391.65,2023-11-15 05:30:00,392.25,384.25,2023-11,385.55,5396259
WIPRO,397.1,2023-11-16 05:30:00,399.5,389.3,2023-11,391.65,6921788
WIPRO,395.4,2023-11-17 05:30:00,399.0,394.5,2023-11,398.0,3943464
WIPRO,400.2,2023-11-20 05:30:00,401.1,393.2,2023-11,393.2,4305248
WIPRO,400.65,2023-11-21 05:30:00,402.6,400.05,2023-11,402.6,2720124
WIPRO,400.25,2023-11-22 05:30:00,402.6,399.1,2023-11,402.5,2659291
WIPRO,402.5,2023-11-23 05:30:00,405.0,400.5,2023-11,400.5,4838680
WIPRO,396.0,2023-11-24 05:30:00,403.5,395.55,2023-11,402.5,3125283
WIPRO,396.85,2023-11-28 05:30:00,398.75,393.1,2023-11,397.0,4072657
WIPRO,406.25,2023-11-29 05:30:00,408.55,398.0,2023-11,398.0,7772043
WIPRO,413.05,2023-11-30 05:30:00,414.5,404.05,2023-11,406.95,9912979
WIPRO,407.65,2023-12-01 05:30:00,413.75,406.5,2023-12,413.75,4915213
WIPRO,407.45,2023-12-04 05:30:00,413.0,406.75,2023-12,412.7,5331236
WIPRO,404.35,2023-12-05 05:30:00,409.0,402.1,2023-12,407.4,5582684
WIPRO,418.75,2023-12-06 05:30:00,420.4,405.95,2023-12,406.75,11041035
WIPRO,418.25,2023-12-07 05:30:00,421.5,416.65,2023-12,420.0,5625276
WIPRO,422.6,2023-12-08 05:30:00,424.5,415.0,2023-12,418.8,7739561
WIPRO,420.6,2023-12-11 05:30:00,422.2,417.25,2023-12,420.0,5042121
WIPRO,422.2,2023-12-12 05:30:00,427.9,420.15,2023-12,420.7,5951682
WIPRO,419.65,2023-12-13 05:30:00,424.3,415.0,2023-12,423.55,4848408
WIPRO,434.4,2023-12-14 05:30:00,436.0,423.25,2023-12,423.5,12340688
WIPRO,446.55,2023-12-15 05:30:00,449.5,433.5,2023-12,436.05,20783617
WIPRO,445.25,2023-12-18 05:30:00,453.5,442.0,2023-12,446.0,10091036
WIPRO,438.7,2023-12-19 05:30:00,447.35,435.0,2023-12,445.6,8032347
WIPRO,431.95,2023-12-20 05:30:00,449.5,429.35,2023-12,442.0,13224971
WIPRO,434.0,2023-12-21 05:30:00,436.5,427.2,2023-12,428.9,5331504
WIPRO,462.65,2023-12-22 05:30:00,466.3,434.0,2023-12,435.3,23040407
WIPRO,470.1,2023-12-26 05:30:00,475.8,448.35,2023-12,454.0,27314322
WIPRO,470.95,2023-12-27 05:30:00,475.4,464.1,2023-12,468.5,12631496
WIPRO,469.45,2023-12-28 05:30:00,477.4,467.65,2023-12,472.55,8419978
WIPRO,471.3,2023-12-29 05:30:00,475.35,466.1,2023-12,470.95,7980570
WIPRO,477.15,2024-01-01 05:30:00,483.5,468.3,2024-01,473.0,10173639
WIPRO,469.2,2024-01-02 05:30:00,478.0,464.3,2024-01,478.0,7141257
WIPRO,455.9,2024-01-03 05:30:00,463.9,455.0,2024-01,463.9,9767182
WIPRO,452.4,2024-01-04 05:30:00,459.85,451.4,2024-01,457.0,7585168
WIPRO,456.6,2024-01-05 05:30:00,463.0,453.5,2024-01,455.05,8444565
WIPRO,450.35,2024-01-08 05:30:00,460.0,449.05,2024-01,457.5,5041443
WIPRO,450.75,2024-01-09 05:30:00,462.5,449.95,2024-01,458.0,7232524
WIPRO,453.6,2024-01-10 05:30:00,456.0,449.0,2024-01,451.45,4437338
WIPRO,448.2,2024-01-11 05:30:00,456.9,446.7,2024-01,454.95,4319409
WIPRO,465.45,2024-01-12 05:30:00,469.0,455.0,2024-01,455.0,18043367
WIPRO,494.6,2024-01-15 05:30:00,529.0,489.15,2024-01,511.95,63922132
WIPRO,485.0,2024-01-16 05:30:00,495.0,480.5,2024-01,495.0,12956246
WIPRO,482.4,2024-01-17 05:30:00,491.5,472.0,2024-01,475.15,14334466
WIPRO,482.65,2024-01-18 05:30:00,489.0,468.4,2024-01,482.4,13072462
WIPRO,485.05,2024-01-19 05:30:00,493.35,483.6,2024-01,488.0,7749310
WIPRO,477.95,2024-01-20 05:30:00,488.9,469.05,2024-01,486.4,6045801
WIPRO,469.9,2024-01-23 05:30:00,486.0,467.05,2024-01,478.05,9986168
WIPRO,478.05,2024-01-24 05:30:00,479.0,468.05,2024-01,471.0,5854375
WIPRO,470.0,2024-01-25 05:30:00,479.35,468.55,2024-01,478.05,6426490
WIPRO,473.0,2024-01-29 05:30:00,477.0,470.0,2024-01,470.0,5025650
WIPRO,472.5,2024-01-30 05:30:00,482.9,471.5,2024-01,474.4,5914007
WIPRO,478.15,2024-01-31 05:30:00,479.9,469.0,2024-01,472.5,5292240
WIPRO,471.35,2024-02-01 05:30:00,477.7,470.6,2024-02,477.55,3914060
WIPRO,483.15,2024-02-02 05:30:00,486.5,475.0,2024-02,475.0,8148111
WIPRO,482.35,2024-02-05 05:30:00,489.5,479.15,2024-02,483.0,5783302
WIPRO,499.65,2024-02-06 05:30:00,501.8,483.1,2024-02,484.7,14512019
WIPRO,495.2,2024-02-07 05:30:00,501.7,492.55,2024-02,500.95,4551767
WIPRO,488.85,2024-02-08 05:30:00,500.1,485.1,2024-02,495.9,5651920
WIPRO,490.45,2024-02-09 05:30:00,494.75,482.75,2024-02,490.9,3946894
WIPRO,501.45,2024-02-12 05:30:00,510.8,491.0,2024-02,491.0,24436750
WIPRO,511.6,2024-02-13 05:30:00,513.0,491.7,2024-02,503.1,11186788
WIPRO,514.5,2024-02-14 05:30:00,517.0,497.05,2024-02,503.95,11297328
WIPRO,518.5,2024-02-15 05:30:00,522.85,513.05,2024-02,516.95,7285388
WIPRO,543.0,2024-02-16 05:30:00,545.0,520.95,2024-02,522.5,17471322
WIPRO,535.95,2024-02-19 05:30:00,545.9,531.35,2024-02,545.9,9301379
WIPRO,531.95,2024-02-20 05:30:00,538.15,526.25,2024-02,535.8,5187063
WIPRO,521.4,2024-02-21 05:30:00,536.3,519.5,2024-02,535.9,6557787
WIPRO,531.05,2024-02-22 05:30:00,533.0,521.45,2024-02,522.8,7298241
WIPRO,536.15,2024-02-23 05:30:00,541.25,533.3,2024-02,535.0,9930497
WIPRO,532.9,2024-02-26 05:30:00,536.5,526.05,2024-02,536.25,4410318
WIPRO,531.45,2024-02-27 05:30:00,537.4,527.55,2024-02,534.0,5199630
WIPRO,517.7,2024-02-28 05:30:00,530.95,515.0,2024-02,530.0,6394528
WIPRO,518.6,2024-02-29 05:30:00,524.25,513.2,2024-02,517.3,7231382
WIPRO,519.1,2024-03-01 05:30:00,525.2,517.55,2024-03,522.4,4710315
WIPRO,522.85,2024-03-02 05:30:00,524.8,522.0,2024-03,523.45,340134
WIPRO,520.5,2024-03-04 05:30:00,526.4,518.55,2024-03,522.95,2831185
WIPRO,513.3,2024-03-05 05:30:00,520.5,510.65,2024-03,517.75,5260774
WIPRO,513.15,2024-03-06 05:30:00,514.85,500.0,2024-03,513.7,5545961
WIPRO,515.5,2024-03-07 05:30:00,520.4,510.5,2024-03,513.75,4853991
WIPRO,514.55,2024-03-11 05:30:00,518.95,512.3,2024-03,517.4,5565756
WIPRO,510.85,2024-03-12 05:30:00,522.5,507.75,2024-03,512.75,5826380
WIPRO,504.4,2024-03-13 05:30:00,518.7,496.8,2024-03,513.8,6790240
WIPRO,517.95,2024-03-14 05:30:00,518.9,495.15,2024-03,501.15,6412736
WIPRO,517.0,2024-03-15 05:30:00,518.25,506.4,2024-03,514.75,6824543
WIPRO,510.2,2024-03-18 05:30:00,518.55,509.0,2024-03,518.0,3196980
WIPRO,494.85,2024-03-19 05:30:00,509.0,493.15,2024-03,509.0,4808693
WIPRO,493.5,2024-03-20 05:30:00,501.25,489.2,2024-03,496.05,4192672
WIPRO,500.45,2024-03-21 05:30:00,505.3,498.45,2024-03,499.65,5822290
WIPRO,487.1,2024-03-22 05:30:00,490.75,479.55,2024-03,489.25,14323251
WIPRO,479.85,2024-03-26 05:30:00,490.95,479.05,2024-03,486.0,9136673
WIPRO,472.3,2024-03-27 05:30:00,480.95,471.25,2024-03,479.7,7160334
WIPRO,480.1,2024-03-28 05:30:00,483.05,475.3,2024-03,476.7,7727575
WIPRO,484.95,2024-04-01 05:30:00,486.4,481.55,2024-04,483.7,3020504
WIPRO,481.2,2024-04-02 05:30:00,482.7,479.6,2024-04,481.95,3466327
WIPRO,483.2,2024-04-03 05:30:00,487.7,475.95,2024-04,480.0,6897258
WIPRO,487.4,2024-04-04 05:30:00,491.95,479.6,2024-04,485.8,8002023
WIPRO,485.05,2024-04-05 05:30:00,487.15,482.55,2024-04,486.5,3207172
