Ticker,close,date,high,low,month,open,volume
BPCL,178.45,2023-11-01 05:30:00,179.38,175.28,2023-11,175.28,13929780
BPCL,180.28,2023-11-02 05:30:00,181.0,178.63,2023-11,180.48,10130432
BPCL,180.75,2023-11-03 05:30:00,181.85,180.1,2023-11,180.58,5627900
BPCL,183.13,2023-11-06 05:30:00,184.58,180.68,2023-11,181.4,9072020
BPCL,186.4,2023-11-07 05:30:00,186.83,183.1,2023-11,183.4,10702176
BPCL,192.1,2023-11-08 05:30:00,193.95,187.03,2023-11,187.73,24020912
BPCL,191.78,2023-11-09 05:30:00,195.33,191.4,2023-11,192.55,12843896
BPCL,192.03,2023-11-10 05:30:00,193.05,190.25,2023-11,190.9,4932486
BPCL,192.05,2023-11-12 05:30:00,194.0,191.58,2023-11,192.5,776810
BPCL,193.55,2023-11-13 05:30:00,194.35,191.75,2023-11,191.75,4838906
BPCL,196.28,2023-11-15 05:30:00,196.7,193.58,2023-11,194.0,11266250
BPCL,199.33,2023-11-16 05:30:00,200.65,196.5,2023-11,197.0,15416172
BPCL,195.13,2023-11-17 05:30:00,203.55,194.63,2023-11,200.0,16380696
BPCL,196.0,2023-11-20 05:30:00,196.7,193.73,2023-11,195.33,4506882
BPCL,194.0,2023-11-21 05:30:00,196.6,193.3,2023-11,196.0,4477214
BPCL,201.05,2023-11-22 05:30:00,201.4,195.55,2023-11,196.0,25730664
BPCL,205.65,2023-11-23 05:30:00,206.75,200.33,2023-11,201.78,16239092
BPCL,205.3,2023-11-24 05:30:00,206.5,203.5,2023-11,206.5,10975546
BPCL,212.25,2023-11-28 05:30:00,212.95,206.55,2023-11,207.03,23186856
BPCL,214.33,2023-11-29 05:30:00,217.23,209.35,2023-11,213.0,25208812
BPCL,217.85,2023-11-30 05:30:00,219.38,214.53,2023-11,217.25,32721308
BPCL,219.0,2023-12-01 05:30:00,221.2,216.7,2023-12,220.0,19278842
BPCL,230.75,2023-12-04 05:30:00,232.4,222.0,2023-12,222.5,41482794
BPCL,236.1,2023-12-05 05:30:00,238.23,232.5,2023-12,235.03,38376064
BPCL,236.43,2023-12-06 05:30:00,241.25,234.15,2023-12,240.5,27408826
BPCL,237.35,2023-12-07 05:30:00,239.5,235.75,2023-12,238.5,23850564
